id,city,lat,lng,country,iso2,capital
346,Biberach,48.0981,9.7886,Germany,DE,minor
347,Wernigerode,51.835,10.7853,Germany,DE,
348,Bernburg,51.8,11.7333,Germany,DE,minor
349,Jülich,50.9222,6.3583,Germany,DE,
350,Lampertheim,49.5942,8.4671,Germany,DE,
351,Vechta,52.7306,8.2886,Germany,DE,minor
352,Naumburg,51.1521,11.8098,Germany,DE,minor
353,Forchheim,49.7197,11.0581,Germany,DE,minor
354,Bad Nauheim,50.3667,8.75,Germany,DE,
355,Hoyerswerda,51.4331,14.25,Germany,DE,
356,Altenburg,50.985,12.4333,Germany,DE,minor
357,Delbrück,51.7667,8.5667,Germany,DE,
358,Fürstenwalde,52.3667,14.0667,Germany,DE,
359,Achim,53.013,9.033,Germany,DE,
360,Itzehoe,53.925,9.5164,Germany,DE,minor
361,Georgsmarienhütte,52.2031,8.0447,Germany,DE,
362,Herrenberg,48.5967,8.8708,Germany,DE,
363,Oer-Erkenschwick,51.6422,7.2508,Germany,DE,
364,Radolfzell am Bodensee,47.7369,8.9697,Germany,DE,
365,Kreuztal,50.962,8.0064,Germany,DE,
366,Ganderkesee,53.0358,8.5483,Germany,DE,
367,Rheinberg,51.5467,6.6006,Germany,DE,
368,Bramsche,52.4089,7.9728,Germany,DE,
369,Neuruppin,52.9222,12.8,Germany,DE,minor
370,Einbeck,51.8167,9.8667,Germany,DE,
371,Werl,51.5528,7.9139,Germany,DE,
372,Schönebeck,52.0167,11.75,Germany,DE,
373,Burgdorf,52.4438,10.0078,Germany,DE,
374,Gevelsberg,51.3265,7.3559,Germany,DE,
375,Weyhe,52.9936,8.8733,Germany,DE,
376,Geesthacht,53.4375,10.3675,Germany,DE,
377,Haan,51.1931,7.0131,Germany,DE,
378,Lohmar,50.8415,7.2166,Germany,DE,
379,Osterholz-Scharmbeck,53.2269,8.7947,Germany,DE,minor
380,Weil am Rhein,47.5947,7.6108,Germany,DE,
381,Ennepetal,51.3021,7.3425,Germany,DE,
382,Riesa,51.3081,13.2939,Germany,DE,
383,Taunusstein,50.1435,8.1606,Germany,DE,
384,Andernach,50.4397,7.4017,Germany,DE,
385,Meschede,51.3503,8.2836,Germany,DE,minor
386,Schwedt (Oder),53.0631,14.2831,Germany,DE,
387,Friedberg,48.35,10.9833,Germany,DE,
388,Bad Hersfeld,50.8683,9.7067,Germany,DE,minor
389,Gaggenau,48.8039,8.3194,Germany,DE,
390,Merzig,49.4471,6.6312,Germany,DE,minor
391,Neuburg,48.7333,11.1833,Germany,DE,minor
392,Werve,51.6667,7.6167,Germany,DE,
393,Vaihingen an der Enz,48.9328,8.9564,Germany,DE,
394,Rietberg,51.8,8.4333,Germany,DE,
395,Saalfeld,50.6506,11.3542,Germany,DE,minor
396,Bretten,49.0364,8.7061,Germany,DE,
397,Waltrop,51.6236,7.3972,Germany,DE,
398,Oelde,51.8258,8.1436,Germany,DE,
399,Tönisvorst,51.3208,6.4931,Germany,DE,
400,Güstrow,53.7939,12.1764,Germany,DE,minor
401,Friedberg,50.3353,8.755,Germany,DE,minor
402,Landsberg,48.0528,10.8689,Germany,DE,minor
403,Northeim,51.7067,10.0011,Germany,DE,minor
404,Kelkheim (Taunus),50.138,8.4525,Germany,DE,
405,Springe,52.2167,9.55,Germany,DE,
406,Unterschleißheim,48.2833,11.5667,Germany,DE,
407,Bühl,48.6953,8.135,Germany,DE,
408,Schwandorf,49.3236,12.0993,Germany,DE,minor
409,Höxter,51.7667,9.3667,Germany,DE,minor
410,Rösrath,50.9,7.1833,Germany,DE,
411,Bad Zwischenahn,53.1836,8.0097,Germany,DE,
412,Schwelm,51.2904,7.2972,Germany,DE,minor
413,Rendsburg,54.3044,9.6644,Germany,DE,minor
414,Winnenden,48.8764,9.3978,Germany,DE,
415,Bad Neuenahr-Ahrweiler,50.5447,7.1133,Germany,DE,minor
416,Grimma,51.2386,12.7253,Germany,DE,
417,Wegberg,51.1333,6.2667,Germany,DE,
418,Geislingen an der Steige,48.6244,9.8306,Germany,DE,
419,Königsbrunn,48.2689,10.8908,Germany,DE,
420,Henstedt-Ulzburg,53.7833,10,Germany,DE,
421,Meißen,51.1636,13.4775,Germany,DE,minor
422,Leichlingen,51.1167,7.0167,Germany,DE,
423,Kevelaer,51.5833,6.25,Germany,DE,
424,Zeitz,51.0478,12.1383,Germany,DE,
425,Emmendingen,48.1214,7.8492,Germany,DE,minor
426,Blankenfelde,52.35,13.4,Germany,DE,
427,Sundern,51.3167,8,Germany,DE,
428,Baunatal,51.2589,9.4183,Germany,DE,
429,Reinbek,53.5089,10.2483,Germany,DE,
430,Mechernich,50.6,6.65,Germany,DE,
431,Hattersheim,50.0697,8.4862,Germany,DE,
432,Wetter (Ruhr),51.3881,7.395,Germany,DE,
433,Griesheim,49.8594,8.5525,Germany,DE,
434,Arnstadt,50.8342,10.9464,Germany,DE,minor
435,Aschersleben,51.75,11.4667,Germany,DE,
436,Geilenkirchen,50.9653,6.1194,Germany,DE,
437,Rheinbach,50.6256,6.9491,Germany,DE,
438,Overath,50.9328,7.2839,Germany,DE,
439,Baesweiler,50.9,6.1833,Germany,DE,
440,Leimen,49.3481,8.6911,Germany,DE,
441,Wangen im Allgäu,47.6858,9.8342,Germany,DE,
442,Schloß Holte-Stukenbrock,51.8833,8.6167,Germany,DE,
443,Lohne,52.6667,8.2386,Germany,DE,
444,Wiesloch,49.2942,8.6983,Germany,DE,
445,Hamminkeln,51.7319,6.5908,Germany,DE,
446,Strausberg,52.5808,13.8814,Germany,DE,
447,Lauf,49.5103,11.2772,Germany,DE,minor
448,Neckarsulm,49.1917,9.2244,Germany,DE,
449,Heiligenhaus,51.3265,6.971,Germany,DE,
450,Sangerhausen,51.4667,11.3,Germany,DE,minor
451,Hennigsdorf,52.6378,13.2036,Germany,DE,
452,Ehingen an der Donau,48.2833,9.7236,Germany,DE,
453,Butzbach,50.4367,8.6622,Germany,DE,
454,Nordenham,53.5,8.4667,Germany,DE,
455,Hohen Neuendorf,52.6667,13.2831,Germany,DE,
456,Ludwigsfelde,52.2997,13.2667,Germany,DE,
457,Mühlacker,48.95,8.8392,Germany,DE,
458,Heppenheim,49.6415,8.645,Germany,DE,minor
459,Selm,51.6833,7.4833,Germany,DE,
460,Weiterstadt,49.9,8.6,Germany,DE,
461,Pfaffenhofen,48.5333,11.5167,Germany,DE,minor
462,Kulmbach,50.1,11.4333,Germany,DE,minor
463,Sankt Wendel,49.4667,7.1667,Germany,DE,minor
464,Teltow,52.4022,13.2706,Germany,DE,
465,Bad Honnef am Rhein,50.645,7.2269,Germany,DE,
466,Helmstedt,52.2281,11.0106,Germany,DE,minor
467,Bingen am Rhein,49.9669,7.895,Germany,DE,
468,Achern,48.6314,8.0739,Germany,DE,
469,Zirndorf,49.45,10.95,Germany,DE,
470,Roth,49.2461,11.0911,Germany,DE,
471,Lennestadt,51.1236,8.0681,Germany,DE,
472,Verl,51.8831,8.5167,Germany,DE,
473,Lindau,47.5458,9.6839,Germany,DE,
